Read ID,Read Length,Read Qscore,Structure Label,QC Bucket,QC Flags,Is Reversed,Order Valid,5p Offset,3p Offset,N Fraction,Invalid Base Fraction,Anchor Count
250FC00716011_16_2197_12280_283446996_10235_0_14.75_1 strand=-,791,14.86,full_structure,pass,,False,True,0.0000,0.0265,0.0000,0.0000,2
250FC00716011_16_2234_8033_283442641_14648_1_15.04_1 strand=+,888,14.93,full_structure,pass,,False,True,0.0000,0.0236,0.0000,0.0000,2
250FC00716011_16_2240_7911_283450138_8030_1_16.36_1 strand=+,482,16.52,full_structure,pass,,False,True,0.0000,0.0394,0.0000,0.0000,2
250FC00716011_16_2256_12758_283441872_16465_0_12.78_1 strand=-,1058,12.90,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0198,0.0000,0.0000,1
250FC00716011_16_2281_12633_283447148_9267_0_11.54_1 strand=+,639,11.31,no_anchor_detected,low_read_q,low_read_q;no_anchor,False,False,,,0.0000,0.0000,0
250FC00716011_16_2060_11552_283451355_12231_0_12.08_1 strand=+,602,11.92,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0349,0.0000,0.0000,1
250FC00716011_16_2072_8890_283457070_6439_0_21.81_1 strand=-,405,21.45,full_structure,pass,,False,True,0.0000,0.0519,0.0000,0.0000,2
250FC00716011_16_2101_1226_283451198_11631_2_13.66_1 strand=+,796,13.56,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0264,0.0000,0.0000,1
250FC00716011_16_2130_11689_283428985_31309_0_16.06_1 strand=+,2330,16.07,internal_3p_anchor,internal_adapter,internal_adapter,False,False,0.0000,0.0090,0.0000,0.0000,3
250FC00716011_16_2173_10035_283447144_17743_2_19.46_1 strand=-,1262,19.56,missing_5p_anchor,missing_5p,missing_5p,False,False,,0.0166,0.0000,0.0000,1
250FC00716011_16_2185_7896_283451715_12026_1_16.89_1 strand=-,861,17.00,full_structure,pass,,False,True,0.0000,0.0244,0.0000,0.0000,2
250FC00716011_16_2189_10635_283452079_11630_1_7.61_1 strand=-,790,7.84,missing_5p_anchor,low_read_q,low_read_q;missing_5p,False,False,,0.0253,0.0000,0.0000,1
250FC00716011_16_2218_10030_283451960_11427_0_9.99_1 strand=+,536,9.86,missing_3p_anchor,low_read_q,low_read_q;missing_3p,False,False,0.0000,,0.0000,0.0000,1
250FC00716011_16_2254_9257_283448050_14748_3_15.48_1 strand=-,961,15.47,full_structure,pass,,False,True,0.0000,0.0239,0.0000,0.0000,2
250FC00716011_16_2055_8113_283452202_16176_1_11.96_1 strand=+,844,11.90,full_structure,low_read_q,low_read_q,False,True,0.0000,0.0664,0.0000,0.0000,2
250FC00716011_16_2066_10570_283447557_21497_0_17.23_1 strand=+,1350,17.05,internal_3p_anchor,internal_adapter,internal_adapter;three_prime_truncated,False,False,0.0000,0.7326,0.0000,0.0000,3
250FC00716011_16_2070_11145_283460846_5686_0_13.61_1 strand=+,374,13.79,full_structure,pass,,False,True,0.0000,0.0321,0.0000,0.0000,2
250FC00716011_16_2088_11641_283446749_22965_2_16.38_1 strand=-,1485,16.96,full_structure,pass,,False,True,0.0000,0.0141,0.0000,0.0000,2
250FC00716011_16_2108_12199_283456414_10860_0_12.26_1 strand=+,358,12.91,internal_3p_anchor,low_read_q,low_read_q;internal_adapter;three_prime_truncated,False,False,,0.2291,0.0000,0.0000,2
250FC00716011_16_2111_8346_283460925_7049_2_15.24_1 strand=+,510,15.02,full_structure,pass,,False,True,0.0000,0.0216,0.0000,0.0000,2
250FC00716011_16_2119_9082_283459452_8292_1_16.12_1 strand=-,464,16.26,full_structure,pass,,False,True,0.0000,0.0453,0.0000,0.0000,2
