Metric,Value
Sample Name,real_10k_1
Total Reads,10000
Total Bases,8650110
Mean Read Length,865.01
Median Read Length,745.0
N50,926
Min Read Length,201
Max Read Length,3820
Median Read Qscore,15.58
Long High-Quality Ratio,0.8606
Reversed Read Ratio,0.0285
Correct Anchor Order Ratio,0.5626
5' Truncation Ratio,0.0000
3' Truncation Ratio,0.1245
High-N Read Ratio,0.0000
Rust Accelerator,python-fallback

Anchor Detection Ratios
adapter_5p,0.7324
polyA,0.9553

QC Bucket Counts
pass,5095
internal_adapter,1620
missing_5p,1542
low_read_q,1394
missing_3p,282
no_anchor,54
three_prime_truncated,13

Structure Classification Counts
full_structure,5626
missing_5p_anchor,2110
no_anchor_detected,93
internal_3p_anchor,1817
missing_3p_anchor,354

Structure Orientation Counts
full_structure (forward),5625
full_structure (reversed),1
missing_5p_anchor (forward),1836
missing_5p_anchor (reversed),274
no_anchor_detected (forward),93
internal_3p_anchor (forward),1810
internal_3p_anchor (reversed),7
missing_3p_anchor (forward),351
missing_3p_anchor (reversed),3
